"DriveId","SaveAs","Product"
"1ECVdexspWQ9YRDjt0KyOxAKpTrdXaVf5","assets/jumbofarms/atta-30kg.jpg","Jumbofarms Atta 30Kg"
"1mq6nFUituTx9RZtHZYnv7F2jwCVJswWc","assets/jumbofarms/basmati-rice-dubar-26kg.jpg","Jumbofarms Basmati Rice Dubar 26Kg"
"1oanVGef86RNfYJS0vJkjVZBVui5K8Vx0","assets/jumbofarms/basmati-rice-everyday-26kg.jpg","Jumbofarms Basmati Rice Everyday 26Kg"
"1CmeNfHbgq1iE2hgCHl_0j7yARfn7D7Eh","assets/jumbofarms/basmati-rice-mini-mogra-26kg.jpg","Jumbofarms Basmati Rice Mini Mogra 26Kg"
"1m-EH4TI0MYAqc2KaIM-uVE0hbQMvlLqP","assets/jumbofarms/basmati-rice-mogra-26kg.jpg","Jumbofarms Basmati Rice Mogra 26Kg"
"1q6ayzYGl2MtJAwcSeluPu1in3kQE6Qo2","assets/jumbofarms/basmati-rice-premium-26kg.jpg","Jumbofarms Basmati Rice Premium 26Kg"
"1cK1RkFQQjcAv_um5g_aMFg7G2G0e8qqg","assets/jumbofarms/basmati-rice-royal-26kg.jpg","Jumbofarms Basmati Rice Royal 26Kg"
"1w0Xy_bnNHJ0oZu1ByX2Vw7Ls8SHvW-lE","assets/jumbofarms/basmati-rice-super-26kg.jpg","Jumbofarms Basmati Rice Super 26Kg"
"1jleXD1aHv1qY1jhIKRyq-ZzeNMeLY9LQ","assets/jumbofarms/basmati-rice-supreme-26kg.jpg","Jumbofarms Basmati Rice Supreme 26Kg"
"1P76MQMqCw_dwttLgBlofyb80_MbDCrc1","assets/jumbofarms/basmati-rice-tibar-26kg.jpg","Jumbofarms Basmati Rice Tibar 26Kg"
"1eaiL-xcAhAt4Y4RXIFG6IxH-wqHMsnEV","assets/jumbofarms/channa-dal-26kg.jpg","Jumbofarms Channa Dal 26kg"
"1D-T0GC4RL6TUdFeziCpxsp7ZyfO4HG0H","assets/jumbofarms/coriander-1kg.jpg","Jumbofarms Coriander 1Kg"
"1o-5Ymeswc-BWHnQh7qQNwTj_-CEv8oXX","assets/jumbofarms/coriander-seeds-10kg-a1.jpg","Jumbofarms Coriander Seeds 10Kg A1"
"1Tmn2eUrk2o-G9nSRylTUqmfI09RWr43l","assets/jumbofarms/coriander-seeds-10kg-mango.jpg","Jumbofarms Coriander Seeds 10Kg Mango"
"1gM5JQMFyaF8O6L3T4pfS8dC3U-Z3aMJ_","assets/jumbofarms/coriander-seeds-5kg-a1.jpg","Jumbofarms Coriander Seeds 5Kg A1"
"1HDPuw1ar3btueARSVJRVRRcZ0IAxUcYZ","assets/jumbofarms/coriander-seeds-5k-mango.jpg","Jumbofarms Coriander Seeds 5K Mango"
"1KqKdwJU2v8iDaYEHfT-bkwctV0B8bgdQ","assets/jumbofarms/ctc-danglers-20x20in.jpg","Jumbofarms CTC Danglers 20x20in"
"10Y6g5FaG6_B254BGhGggUjRopV2bsQqk","assets/jumbofarms/jeera-samba-rice-1kg.jpg","Jumbofarms Jeera Samba Rice 1Kg"
"1b85uCwv0YHr28sfjcho5JVgp-lzmlY3z","assets/jumbofarms/jeera-seeds-1kg.jpg","Jumbofarms Jeera Seeds 1Kg"
"1agAFMrNaI5VHuhdYVChJWm_nDOlImb_L","assets/jumbofarms/jeera-seeds-5kg-premium.jpg","Jumbofarms Jeera Seeds 5Kg premium"
"14Lp1bxrFaGCw1bKQWYLRvT9a6tEgpmZC","assets/jumbofarms/jeera-seeds-5kg-supreme.jpg","Jumbofarms Jeera Seeds 5Kg Supreme"
"1-s2E82-ET5G2-sc8QUkHWcFrLZSQydR9","assets/jumbofarms/mustard-oil-1l.jpg","Jumbofarms Mustard Oil 1L"
"1GczmQ0QCJn_xA9U9fiBVD4QowKgbmpcQ","assets/jumbofarms/mustard-oil-250ml.jpg","Jumbofarms Mustard Oil 250ml"
"18nKFOMNvtaqY2_Djrr18hJqIEPPIPqpC","assets/jumbofarms/mustard-oil-500ml.jpg","Jumbofarms Mustard Oil 500ml"
"1BH4s06JtFdMRdW6h0pKpZiA1yXNO6Xgf","assets/jumbofarms/sonam-rice-26kg.jpg","Jumbofarms Sonam Rice 26Kg"
"1wkUoD0yaOXq869QLHDU8KjF_jD8tyXLO","assets/jumbofarms/sooji-500gm.jpg","Jumbofarms Sooji 500gm"
"1zFt003VO0RPQz54pIu7QncIKIJ1GtzMP","assets/jumbofarms/soya-chunks-220gm.jpg","Jumbofarms Soya Chunks 220gm"
"1qhaq0tEZ44L04zpPITeRLrohNeujNWpc","assets/jumbofarms/soya-chunks-mini-rs10.jpg","Jumbofarms Soya Chunks Mini ₹10"
"1rGrULPqumlHQT4FJhKb9kyODajpk04Kw","assets/jumbofarms/soya-chunks-rs10.jpg","Jumbofarms Soya Chunks ₹10"
"1dfkiFRc5alCg5Ei8yS2-cQ-qLoef2kkh","assets/jumbofarms/tamarind-500gm.jpg","Jumbofarms Tamarind 100gm"
"17jzE_j70S_Bb6ieqLRvCxK_DYabUvQ0s","assets/jumbofarms/vada-kolam-rice-26kg.jpg","Jumbofarms Vada Kolam Rice 26Kg"
"1BpdrX7ZhePiZBLPq6s4Zr8Fg4Ukd2dvp","assets/jumbofarms/whole-chilli-1kg.jpg","Jumbofarms Whole Chilli 1kg"
